------------------------------------------------------------------------------------,,,,,,,,,,,
导出信息：,,,,,,,,,,,
姓名：XXX,,,,,,,,,,,
支付宝账户：XXXXXX,,,,,,,,,,,
起始时间：[2026-05-01 00:00:00]    终止时间：[2026-05-06 23:59:59],,,,,,,,,,,
导出交易类型：[仅支出],,,,,,,,,,,
导出时间：[2026-05-11 22:30:44],,,,,,,,,,,
共19笔记录,,,,,,,,,,,
收入：0笔 0.00元,,,,,,,,,,,
支出：19笔 495.39元,,,,,,,,,,,
不计收支：0笔 0.00元,,,,,,,,,,,
,,,,,,,,,,,
特别提示：,,,,,,,,,,,
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；,,,,,,,,,,,
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；,,,,,,,,,,,
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；,,,,,,,,,,,
4.本回单如经任何涂改、编造，均立即失去效力；,,,,,,,,,,,
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；,,,,,,,,,,,
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；,,,,,,,,,,,
7.禁止将本回单用于非法用途；,,,,,,,,,,,
8.本明细仅展示当前账单中的交易，不包括已删除的记录；,,,,,,,,,,,
9.本明细仅供个人对账使用。,,,,,,,,,,,
,,,,,,,,,,,
------------------------支付宝支付科技有限公司  电子客户回单------------------------,,,,,,,,,,,
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注
2026-5-6 23:11,日用百货,超市,198******78,XXXX,支出,4,储蓄卡,交易成功,1,a1,
2026-5-6 22:22,交通出行,滴滴出行,chu***@didichuxing.com,特惠快车打车-黄师傅-05月06日行程,支出,8.6,储蓄卡,交易成功,2,a2,
2026-5-5 10:51,生活服务,美团,it_***@meituan.com,美团订单-XXX,支出,2.49,储蓄卡,交易成功,3,a3,
2026-5-5 7:33,交通出行,滴滴出行,gzq***@didiglobal.com,单车,支出,2.5,储蓄卡,交易成功,4,a4,
2026-5-5 2:54,交通出行,滴滴出行,chu***@didichuxing.com,滴滴快车打车-马师傅-05月05日行程,支出,51.9,储蓄卡,交易成功,5,a5,
2026-5-4 17:59,交通出行,上海雪球数智科技有限公司,sno***@gmail.com,京津冀互联互通卡 充值,支出,20,储蓄卡,交易成功,6,a6,
2026-5-4 11:23,交通出行,滴滴出行,chu***@didichuxing.com,特惠快车打车-孙师傅-05月04日行程,支出,13.1,储蓄卡,交易成功,7,a7,
2026-5-3 23:55,文化休闲,哔哩哔哩弹幕网,kyz***@bilibili.com,[哔哩哔哩直播] 舰长（XXX 购买）,支出,136.92,信用卡&立减金,交易成功,8,a8,
2026-5-3 22:48,交通出行,滴滴出行,gzq***@didiglobal.com,单车,支出,2.5,储蓄卡,交易成功,9,a9,
2026-5-3 16:40,交通出行,滴滴出行,chu***@didichuxing.com,特惠快车打车-李师傅-05月03日行程,支出,18.4,储蓄卡,交易成功,10,a10,
2026-5-2 21:57,交通出行,滴滴出行,chu***@didichuxing.com,特惠快车打车-刘师傅-05月02日行程,支出,14.4,储蓄卡,交易成功,11,a11,
2026-5-2 20:56,交通出行,滴滴出行,chu***@didichuxing.com,滴滴快车打车-和师傅-05月02日行程,支出,15.6,储蓄卡,交易成功,12,a12,
2026-5-2 14:24,交通出行,滴滴出行,chu***@didichuxing.com,滴滴快车打车-李师傅-05月02日行程,支出,18.56,储蓄卡,交易成功,13,a13,
2026-5-2 9:33,爱车养车,摩典**店,717***@qq.com,适用豪爵摩托车后牌照架框UFRUHR150 TR300 AFR125车牌框保护框,支出,22.22,储蓄卡,支付成功,14,a14,
2026-5-1 20:41,餐饮美食,紫光园,/,紫光园（吕家营店）,支出,16,储蓄卡,交易成功,15,a15,
2026-5-1 19:00,交通出行,滴滴出行,chu***@didichuxing.com,滴滴快车打车-张师傅-05月01日行程,支出,8.5,储蓄卡,交易成功,16,a16,
2026-5-1 17:44,交通出行,上海雪球数智科技有限公司,sno***@gmail.com,京津冀互联互通卡 充值,支出,50,储蓄卡,交易成功,17,a17,
2026-5-1 13:36,数码电器,闪魔**店,sha***@126.com,闪魔适用小米15ultra全胶AR增透光固膜14Pro光固膜UV15钢化膜14新款反光13ultra超声波秒解锁12,支出,58.9,储蓄卡,支付成功,18,a18,
2026-5-1 10:45,交通出行,滴滴出行,chu***@didichuxing.com,滴滴快车打车-陈师傅-05月01日行程,支出,30.8,储蓄卡,交易成功,19,a19,
